GeneID	UniprotID	Gene_Name	Reviewed	Length
7273	A0A0A0MTS7;Q8WZ42;A0A0A0MRA3;Q7Z3B7	TTN;TTN;TTN;DKFZp451N061	unreviewed;reviewed;unreviewed;unreviewed	35991;34350;27118;1263
94025	Q8WXI7;B3KY81	MUC16;CA125;-	reviewed;unreviewed	14507;1647
84033	A6NGQ3;Q5VST9	OBSCN;OBSCN;KIAA1556;KIAA1639	unreviewed;reviewed	8923;7968
23345	Q8NF91;A0A0C4DG40;F8WAI0;B7Z9Y6;B4E3R1	SYNE1;C6orf98;KIAA0796;KIAA1262;KIAA1756;MYNE1;SYNE1;SYNE1;-;-	reviewed;unreviewed;unreviewed;unreviewed;unreviewed	8797;8749;975;911;911
283463	Q7Z5P9	MUC19	reviewed	8384
667	Q03001;F6QMI7;E9PHM6;B4DSS9;Q6P0N6;B4DGY0	DST;BP230;BP240;BPAG1;DMH;DT;KIAA0728;DST;DST;-;DST;-	reviewed;unreviewed;unreviewed;unreviewed;unreviewed;unreviewed	7570;5537;5497;1479;1143;818
4585	A0A0G2JS65;Q99102;E9PDY6;A0T3F4	MUC4;MUC4;MUC4;-	unreviewed;reviewed;unreviewed;unreviewed	7418;5412;5412;1437
23499	Q9UPN3;O94854;Q6ZSD7	MACF1;ABP620;ACF7;KIAA0465;KIAA0754;KIAA1251;MACF1;KIAA0754;-	reviewed;reviewed;unreviewed	7388;3515;1062
643677	Q8NDH2	CCDC168;C13orf40	reviewed	7081
401024	Q5CZC0	FSIP2	reviewed	6907
23224	Q8WXH0;Q6MZP0	SYNE2;KIAA1011;NUA;DKFZp686M09200	reviewed;unreviewed	6885;899
4703	P20929;Q96MF8;Q05C45	NEB;-;NEB	reviewed;unreviewed;unreviewed	6669;500;287
84059	Q8WXG9	ADGRV1;GPR98;KIAA0686;KIAA1943;MASS1;VLGR1	reviewed	6306
79026	Q09666;B4DTV0;Q9BVU3	AHNAK;PM227;-;AHNAK	reviewed;unreviewed;unreviewed	5890;1079;150
113146	Q8IVF2	AHNAK2;C14orf78;KIAA2019	reviewed	5795
727897	Q9HC84	MUC5B;MUC5	reviewed	5762
4586	P98088	MUC5AC;MUC5	reviewed	5654
83872	Q96RW7	HMCN1;FIBL6	reviewed	5635
23195	Q9NU22	MDN1;KIAA0301	reviewed	5596
8085	A0A804HHR9;O14686;Q59FG6;Q6PIA1	KMT2D;KMT2D;ALR;MLL2;MLL4;-;MLL2	unreviewed;reviewed;unreviewed;unreviewed	5553;5537;2704;395
10071	Q9UKN1	MUC12;MUC11	reviewed	5478
8857	Q9Y6R7	FCGBP	reviewed	5405
57674	A0A0A0MTC1;A0A0A0MTR7;Q63HN8	RNF213;RNF213;RNF213;ALO17;C17orf27;KIAA1554;KIAA1618;MYSTR	unreviewed;unreviewed;reviewed	5256;5207;5207
100288142	P0DPF2	NBPF20	reviewed	5207
7399	O75445	USH2A	reviewed	5202
23352	Q5T4S7	UBR4;KIAA0462;KIAA1307;RBAF600;ZUBR1	reviewed	5183
